image_id,model_name,model_version,generation_settings,prompt_or_brief,intended_tone,intended_threat,notes_source,category,provenance_status,source_url
SI_0001,human_public_domain,"Albert Pinkham Ryder, c. 1890s",NA,lone figure on a vast beach at dusk; isolation as narrative,Quiet,Y,Uploaded by project owner as public-domain baseline,compositional_intentionality,VERIFY ATTRIBUTION AND SOURCE URL BEFORE PUBLIC RELEASE,
SI_0002,human_public_domain,"N. C. Wyeth school, c. 1919",NA,group encounters a wolf in a snowy wilderness at sunset; communal fear,Tension,Y,Uploaded by project owner as public-domain baseline,compositional_intentionality,VERIFY ATTRIBUTION AND SOURCE URL BEFORE PUBLIC RELEASE,
SI_0003,human_public_domain,"J. C. Leyendecker, c. 1922",NA,mother teaches a child to kneel and pray beneath a holly wreath and candles,Comfort,N,Uploaded by project owner as public-domain baseline,compositional_intentionality,VERIFY ATTRIBUTION AND SOURCE URL BEFORE PUBLIC RELEASE,
SI_0004,human_public_domain,"N. C. Wyeth, 1917; candidate title: The Giant",NA,children on a beach gaze at a translucent giant in storm clouds,Danger,Y,Uploaded by project owner as public-domain baseline,compositional_intentionality,VERIFY ATTRIBUTION AND SOURCE URL BEFORE PUBLIC RELEASE,
SI_0005,human_public_domain,"Arthur Rackham, 1907; Alice's Adventures in Wonderland",NA,Alice sits between the Mock Turtle and Gryphon on a beach,Quiet,N,Uploaded by project owner as public-domain baseline,image_consistency,VERIFY ATTRIBUTION AND SOURCE URL BEFORE PUBLIC RELEASE,
SI_0006,human_public_domain,"Arthur Rackham, 1907; Alice's Adventures in Wonderland",NA,Alice falls through the air surrounded by playing cards,Action,Y,Uploaded by project owner as public-domain baseline,image_consistency,VERIFY ATTRIBUTION AND SOURCE URL BEFORE PUBLIC RELEASE,
SI_0007,human_public_domain,"Arthur Rackham, 1907; Alice's Adventures in Wonderland",NA,Alice looks up at the Caterpillar on a giant mushroom,Quiet,N,Uploaded by project owner as public-domain baseline,image_consistency,VERIFY ATTRIBUTION AND SOURCE URL BEFORE PUBLIC RELEASE,
SI_0008,human_public_domain,"J. C. Leyendecker, c. 1920s",NA,boy's first suit fitting while his mother cries and the tailor smiles,Comfort,N,Uploaded by project owner as public-domain baseline,visual_storytelling,VERIFY ATTRIBUTION AND SOURCE URL BEFORE PUBLIC RELEASE,
SI_0009,human_public_domain,"Arthur Rackham, 1907; Alice's Adventures in Wonderland",NA,Alice attends a tea party with the Hatter and March Hare,Tension,N,Uploaded by project owner as public-domain baseline,visual_storytelling,VERIFY ATTRIBUTION AND SOURCE URL BEFORE PUBLIC RELEASE,
SI_0010,human_public_domain,Artist and publication date unverified,NA,man carries a woman through turbulent moonlit surf,Action,Y,Uploaded by project owner as public-domain baseline,visual_storytelling,VERIFY ATTRIBUTION AND SOURCE URL BEFORE PUBLIC RELEASE,
SI_0011,human_public_domain,"N. C. Wyeth, c. 1917; candidate subject: Robin Hood's death",NA,dying archer holds a bow while companions grieve by a window,Quiet,Y,Uploaded by project owner as public-domain baseline,visual_storytelling,VERIFY ATTRIBUTION AND SOURCE URL BEFORE PUBLIC RELEASE,
SI_0012,human_public_domain,"N. C. Wyeth, c. 1910s",NA,man with a knife confronts a rearing bear in a forest,Action,Y,Uploaded by project owner as public-domain baseline,visual_storytelling,VERIFY ATTRIBUTION AND SOURCE URL BEFORE PUBLIC RELEASE,
